iso_code,continent,location,population,total_cases,total_deaths,people_fully_vaccinated,mortality_rate,vaccination_rate
AFG,Asia,Afghanistan,41128772,207322,7845,0,3.78,0.0
ALB,Europe,Albania,2842318,332670,3596,0,1.08,0.0
DZA,Africa,Algeria,44903228,271194,6881,0,2.54,0.0
ASM,Oceania,American Samoa,44295,8266,34,0,0.41,0.0
AND,Europe,Andorra,79843,47686,158,0,0.33,0.0
AGO,Africa,Angola,35588996,105070,1929,0,1.84,0.0
AIA,North America,Anguilla,15877,3904,12,0,0.31,0.0
ATG,North America,Antigua and Barbuda,93772,9106,146,0,1.6,0.0
ARG,South America,Argentina,45510324,9891139,130124,34804669,1.32,76.48
ARM,Asia,Armenia,2780472,445583,8708,0,1.95,0.0
ABW,North America,Aruba,106459,43752,280,0,0.64,0.0
AUS,Oceania,Australia,26177410,10694041,17816,0,0.17,0.0
AUT,Europe,Austria,8939617,5678345,21571,0,0.38,0.0
AZE,Asia,Azerbaijan,10358078,825893,10006,0,1.21,0.0
BHS,North America,Bahamas,409989,37491,833,0,2.22,0.0
BHR,Asia,Bahrain,1472237,696614,1536,0,0.22,0.0
BGD,Asia,Bangladesh,171186368,2037024,29439,0,1.45,0.0
BRB,North America,Barbados,281646,105515,568,0,0.54,0.0
BLR,Europe,Belarus,9534956,994037,7118,0,0.72,0.0
BEL,Europe,Belgium,11655923,4679472,33240,9162420,0.71,78.61
BLZ,North America,Belize,405285,69675,688,0,0.99,0.0
BEN,Africa,Benin,13352864,27985,163,0,0.58,0.0
BMU,North America,Bermuda,64207,18557,152,0,0.82,0.0
BTN,Asia,Bhutan,782457,62531,21,0,0.03,0.0
BOL,South America,Bolivia,12224114,1146741,22280,0,1.94,0.0
BES,North America,Bonaire Sint Eustatius and Saba,27052,11716,39,0,0.33,0.0
BIH,Europe,Bosnia and Herzegovina,3233530,400960,16222,0,4.05,0.0
BWA,Africa,Botswana,2630300,328031,2786,0,0.85,0.0
BRA,South America,Brazil,215313504,36124337,692743,174887915,1.92,81.22
VGB,North America,British Virgin Islands,31332,7305,64,0,0.88,0.0
BRN,Asia,Brunei,449002,268615,148,0,0.06,0.0
BGR,Europe,Bulgaria,6781955,1280617,38036,0,2.97,0.0
BFA,Africa,Burkina Faso,22673764,22006,395,0,1.79,0.0
BDI,Africa,Burundi,12889583,52051,15,0,0.03,0.0
KHM,Asia,Cambodia,16767851,138495,3056,0,2.21,0.0
CMR,Africa,Cameroon,27914542,123993,1965,0,1.58,0.0
CAN,North America,Canada,38454328,4476385,48421,31731097,1.08,82.52
CPV,Africa,Cape Verde,593162,63190,412,0,0.65,0.0
